"","text","stringAsFactors"
"33","covid lagi naik perketat prokes  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"34","ayo bersama lawan covid  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"35","atasi pandemi tuntaskan vaksinasi booster covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"36","atasi pandemi tuntaskan vaksinasi booster covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"37","atasi pandemi tuntaskan vaksinasi booster covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"38","atasi pandemi tuntaskan vaksinasi booster covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"39","atasi pandemi tuntaskan vaksinasi booster covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"40","atasi pandemi tuntaskan vaksinasi booster covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"41","rspi rsuzabandaaceh vaksin vaccine vaksinanak vaksincovid covid covid ",FALSE
"42","terus proteksi diri dan segera lakukan vaksinasi booster untuk meningkatkan proteksi diri terhadap covid vaksìnbooster vaksìncovid covid ",FALSE
"43","vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"44","jangan lupa biasakan cuci tangan pake sabun  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"45","masih nyari yang amanah takut ketipu saya jasa terdaftar di aplikasi bayar setelah jadi ya lgsung orang pertama jd real semua  silahkan wa saya joki tembakvaksin vaksincovid sertifikatvaksin vaksindo vaksinamanah jasavaksinbali jasavaksinbatam indonesiasehat ",FALSE
"46","tetap elinglanwaspada selalu kita usahakan protokol kesehatan dimanapun kita berada lur  jogjaelinglanwaspada bangkitlebihcepatpulihlebihcepat vaksincovid covid kominfodiy jogjaistimewa",FALSE
"47","tingkatkan perlindungan imun tubuh dengan vaksinasi dosis lengkap dan booster ayovaksin taatprokes covid vaksinlengkap booster vaksincovid ",FALSE
"48","kasus covid di kota cirebon kembali mengalami peningkatan dalam dua pekan terakhir  kotacirebon covid vaksìncovid suaraweb kesehatan kepala dinas kesehatan kota cirebon dr siti maria listiawaty menyampaikan kekagumannya kepada seluruh  ",FALSE
"49","kegiatan supervisi dinkes provinsi jawa timur terkait pelayanan vaksinasi covid       hidayat       supervisi vaksincovid monitoring pkmsobo ",FALSE
"50","covid naik kembali ayo tetap semangat jalani prokes  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"51","ayo vaksin booster  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"52","kasus covid meningkat malaysia amankan pasokan vaksin sinovac  covid malaysia vaksincovid vaksinsinovac ",FALSE
"53","apabila kamu masih terkendala klaim sertifikat vaksin covid hubungi whatsapp kemenkes ri pada nomor      sumber  id  pikobar pikocampaign jabarjuara ridwankamil vaksinharuslengkap pakaimasker cepatvaksin sayapilihsehat vaksincovid ",FALSE
